ZIP_CODE,LOCATION,OWNER1,OWNER2,BLDG_CODE,TOTAL_AREA,LIVABLE_AREA,RECORDING_DATE,brief_desc,STD_OWNER,ABBR,MARKET_VALUE,MARKET_VALUE_DATE,LAST_SALE_PRICE,LAST_SALE_DATE,TAXABLE_LAND_VALUE,TAXABLE_BLDG_VALUE,EXEMPT_LAND_VALUE,EXEMPT_BLDG_VALUE
191435539,5931 KINGSESSING AVE,REDEVELOPMENT AUTHORITY O,,N30,925,1050,4/25/2007,Redevelopment Auth. of Phila,REDEVELOPMENT AUTHORITY OF PHILADELPHIA,RDA,"10,000.00",8/1/2006,4.00,4/25/2007,0.00,0.00,574.00,"2,626.00"
191291735,4540 RIDGE AVE,CITY OF PHILA,DEPT OF PUBLIC PROP,ZK0,653250,16200,1/1/1943,City of Phila.,DEPARTMENT OF PUBLIC PROPERTY,PUBPROP,"1,125,000.00",3/1/2001,1.00,1/1/1943,0.00,0.00,"233,672.00","126,328.00"
191446004,14 W SEYMOUR ST,CITY OF PHILADELPHIA,,SR,2359,0,5/13/2008,,CITY OF PHILADELPHIA,PUBPROP,"2,200.00",7/1/2007,800.00,4/21/2008,704.00,704.00,0.00,0.00
191302211,1536 PARRISH ST,CITY OF PHILA,DEPT OF PUBLC PROP,SC,608,0,1/8/1982,City of Phila.,DEPARTMENT OF PUBLIC PROPERTY,PUBPROP,"18,300.00",11/1/2007,1.00,1/8/1982,0.00,0.00,"5,856.00",0.00
191433906,1011 S ITHAN ST,PHILADELPHIA HOUSING,DEVELOPMENT CORPORATION,O30,912,992,2/4/1980,(PHDC) Phila. Housing Dev. Corp.,PHILADELPHIA HOUSING DEVELOPMENT CORPORATION,PHDC,"15,200.00",1/1/2002,"35,400.00",2/4/1980,0.00,0.00,808.00,"4,056.00"
191401314,4531 N 10TH ST,REDEVELOPMENT AUTHORITY,OF PHILA,SR,1240,0,5/10/2007,Redevelopment Auth. of Phila,REDEVELOPMENT AUTHORITY OF PHILADELPHIA,RDA,500.00,1/1/2002,1.00,5/8/2007,0.00,0.00,160.00,0.00
191343900,2227 E RUSH ST,CITY OF PHILA,DEPT PUB PROP,SR,817,0,1/11/1985,City of Phila.,DEPARTMENT OF PUBLIC PROPERTY,PUBPROP,"1,000.00",1/1/2002,1.00,1/8/1985,0.00,0.00,320.00,0.00
191334022,2518 HOPE ST,CITY OF PHILA,DEPT OF PUBLIC PROP,SR,760,0,3/7/1986,City of Phila.,DEPARTMENT OF PUBLIC PROPERTY,PUBPROP,"1,500.00",4/1/2003,500.00,2/24/1986,0.00,0.00,480.00,0.00
191322507,2844 N 26TH ST,REDEVELOPMENT AUTHORITY O,,O50,896,1636,3/29/2007,,REDEVELOPMENT AUTHORITY OF PHILADELPHIA,RDA,"18,000.00",6/1/2002,4.00,3/29/2007,482.00,482.00,0.00,0.00
191332204,611 W CUMBERLAND ST,CITY OF PHILA,DEPT OF PUBLC PROP,SR,826,0,12/24/1982,City of Phila.,DEPARTMENT OF PUBLIC PROPERTY,PUBPROP,500.00,3/1/2001,1.00,12/20/1982,0.00,0.00,160.00,0.00
191332919,2218 N LAWRENCE ST,CITY OF PHILA,DEPT OF PUBLC PROP,SR,698,0,3/14/1984,City of Phila.,DEPARTMENT OF PUBLIC PROPERTY,PUBPROP,600.00,1/1/2002,500.00,12/5/1984,0.00,0.00,192.00,0.00
191251115,1835 E OAKDALE ST,REDEVELOPMENT AUTHORITY,OF PHILA,SR,616,0,10/25/2006,Redevelopment Auth. of Phila,REDEVELOPMENT AUTHORITY OF PHILADELPHIA,RDA,"2,200.00",7/1/2007,4.00,10/25/2006,0.00,0.00,704.00,0.00
191221302,2052 N 07TH ST,CITY OF PHILA,DEPT PUB PROP,SC,1471,0,6/9/1987,City of Phila.,DEPARTMENT OF PUBLIC PROPERTY,PUBPROP,800.00,3/1/2001,800.00,5/26/1987,0.00,0.00,256.00,0.00
191041638,3842 ASPEN ST,PHILA HOUSING DEV CORP,,SR,1260,0,7/22/1988,(PHDC) Phila. Housing Dev. Corp.,PHILADELPHIA HOUSING DEVELOPMENT CORPORATION,PHDC,"7,600.00",9/1/2008,1.00,7/20/1988,0.00,0.00,"2,432.00",0.00
191543211,10625 DECATUR RD,P A I D,,SJ,193125,0,6/11/1975,P.A.I.D,PHILADELPHIA AUTHORITY FOR INDUSTRIAL DEVELOPMENT,PAID,"500,000.00",10/1/2005,1.00,6/11/1975,0.00,0.00,"160,000.00",0.00
191421112,7113 UPLAND ST,CITY OF PHILA,,H30,2600,1260,4/8/1986,City of Phila.,CITY OF PHILADELPHIA,PUBPROP,"6,000.00",7/1/2004,500.00,12/23/1986,0.00,0.00,960.00,960.00
191393408,125-33 S 52ND ST,CITY OF PHILA,,ZA0,10928,21198,8/1/1967,City of Phila.,CITY OF PHILADELPHIA,PUBPROP,"1,385,000.00",3/1/2001,1.00,8/1/1967,0.00,0.00,"48,000.00","395,200.00"
191462536,929 S 22ND ST,REDEVELOPMENT AUTHORITY O,,SR,1056,0,1/23/2006,,REDEVELOPMENT AUTHORITY OF PHILADELPHIA,RDA,"21,100.00",11/1/2008,0.00,1/23/2006,"6,752.00","6,752.00",0.00,0.00
191404401,3513 N 07TH ST,CITY OF PHILADELPHIA,,O30,1373,1194,4/20/2005,City of Phila.,CITY OF PHILADELPHIA,PUBPROP,"5,300.00",1/1/2003,800.00,4/20/2005,0.00,0.00,565.00,"1,131.00"
191343936,2860 TULIP ST,CITY OF PHILA,DEPT OF PUBLIC PROP,SR,756,0,2/25/1986,City of Phila.,DEPARTMENT OF PUBLIC PROPERTY,PUBPROP,"1,500.00",8/1/2001,500.00,12/3/1984,0.00,0.00,480.00,0.00
